measure0,318px,148px,351px,181px,0
measure1,319px,502px,202px,179px,3.086974
measure2,316px,708px,233px,183px,5.933493
measure3,316px,945px,250px,182px,8.548381
measure4,624px,74px,308px,182px,11.317438
measure5,625px,386px,275px,181px,14.01908
measure6,623px,665px,287px,182px,16.811737
measure7,623px,956px,240px,183px,19.522311
measure8,930px,75px,352px,182px,22.289638
measure9,930px,430px,228px,182px,25.080864
measure10,930px,661px,268px,181px,27.856383
measure11,930px,933px,261px,180px,30.552577
